ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_DIN_1,20,1_CLO_2,11,6,5
1_DIN_1,20,1_LIV_1,1,6,13
1_UTI_1,6,1_PAN_1,9,17,14
1_UTI_1,6,1_LIV_1,1,17,13
1_LIV_1,1,1_HAL_1,8,13,10
1_LIV_1,1,1_KIT_1,3,13,12
1_LIV_1,1,1_HAL_2,8,13,11
1_LIV_1,1,1_DIN_1,20,13,6
1_LIV_1,1,1_UTI_1,6,13,17
1_LIV_1,1,1_POR_2,18,13,16
1_DRE_1,5,1_BAT_2,4,7,1
1_POR_1,18,1_BED_2,2,15,3
1_POR_1,18,1_GAR_1,19,15,9
1_PAN_1,9,1_UTI_1,6,14,17
1_BED_1,2,1_HAL_1,8,2,10
1_BED_1,2,1_BAT_2,4,2,1
1_HAL_1,8,1_LIV_1,1,10,13
1_HAL_1,8,1_BED_1,2,10,2
1_HAL_1,8,1_BAT_2,4,10,1
1_KIT_1,3,1_LIV_1,1,12,13
1_BAT_1,4,1_BED_2,2,0,3
1_BAT_1,4,1_DRE_2,5,0,8
1_UTI_2,6,1_GAR_1,19,18,9
1_BAT_2,4,1_DRE_1,5,1,7
1_BAT_2,4,1_BED_1,2,1,2
1_BAT_2,4,1_HAL_1,8,1,10
1_DRE_2,5,1_BAT_1,4,8,0
1_UTI_3,6,1_GAR_1,19,19,9
1_HAL_2,8,1_LIV_1,1,11,13
1_HAL_2,8,1_CLO_1,11,11,4
1_HAL_2,8,1_BED_2,2,11,3
1_GAR_1,19,1_UTI_2,6,9,18
1_GAR_1,19,1_UTI_3,6,9,19
1_GAR_1,19,1_POR_1,18,9,15
1_CLO_1,11,1_HAL_2,8,4,11
1_BED_2,2,1_BAT_1,4,3,0
1_BED_2,2,1_HAL_2,8,3,11
1_BED_2,2,1_POR_1,18,3,15
1_POR_2,18,1_LIV_1,1,16,13
1_CLO_2,11,1_DIN_1,20,5,6
