ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_UTI_2,6,12,17
1_GAR_1,19,1_UTI_1,6,12,16
1_LIV_1,1,1_FOY_1,0,15,11
1_LIV_1,1,1_KIT_1,3,15,14
1_LIV_1,1,1_HAL_1,8,15,13
1_LIV_1,1,1_UTI_1,6,15,16
1_LIV_1,1,1_BED_1,2,15,2
1_BAT_1,4,1_BED_1,2,0,2
1_UTI_1,6,1_CLO_5,11,16,9
1_UTI_1,6,1_GAR_1,19,16,12
1_UTI_1,6,1_LIV_1,1,16,15
1_CLO_1,11,1_BED_2,2,5,3
1_FOY_1,0,1_LIV_1,1,11,15
1_FOY_1,0,1_BED_2,2,11,3
1_FOY_1,0,1_BED_2,2,11,3
1_BED_1,2,1_BAT_1,4,2,0
1_BED_1,2,1_DRE_1,5,2,10
1_BED_1,2,1_LIV_1,1,2,15
1_BED_2,2,1_CLO_1,11,3,5
1_BED_2,2,1_FOY_1,0,3,11
1_BED_2,2,1_FOY_1,0,3,11
1_BED_3,2,1_CLO_3,11,4,7
1_BED_3,2,1_HAL_1,8,4,13
1_UTI_2,6,1_GAR_1,19,17,12
1_CLO_2,11,1_HAL_1,8,6,13
1_KIT_1,3,1_LIV_1,1,14,15
1_CLO_3,11,1_BED_3,2,7,4
1_CLO_4,11,1_HAL_1,8,8,13
1_DRE_1,5,1_BED_1,2,10,2
1_BAT_2,4,1_HAL_1,8,1,13
1_CLO_5,11,1_UTI_1,6,9,16
1_HAL_1,8,1_LIV_1,1,13,15
1_HAL_1,8,1_CLO_4,11,13,8
1_HAL_1,8,1_BED_3,2,13,4
1_HAL_1,8,1_CLO_2,11,13,6
1_HAL_1,8,1_BAT_2,4,13,1
