ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_DIN_1,20,1_FOY_1,0,11,13
1_DIN_1,20,1_KIT_1,3,11,16
1_LIV_1,1,1_HAL_1,8,20,15
1_LIV_1,1,1_HAL_1,8,20,15
1_LIV_1,1,1_HAL_1,8,20,15
1_LIV_1,1,1_KIT_1,3,20,16
1_LIV_1,1,1_FOY_1,0,20,13
1_LIV_1,1,1_BAT_2,4,20,1
1_LIV_1,1,1_UTI_1,6,20,21
1_LIV_1,1,1_LAU_2,10,20,18
1_BED_1,2,1_HAL_1,8,3,15
1_BED_2,2,1_BAT_1,4,4,0
1_BED_2,2,1_HAL_1,8,4,15
1_LAU_1,10,1_HAL_1,8,17,15
1_BAT_1,4,1_DRE_1,5,0,12
1_BAT_1,4,1_BED_2,2,0,4
1_BED_3,2,1_CLO_1,11,5,7
1_BED_3,2,1_HAL_1,8,5,15
1_CLO_1,11,1_BED_3,2,7,5
1_HAL_1,8,1_LIV_1,1,15,20
1_HAL_1,8,1_LAU_3,10,15,19
1_HAL_1,8,1_BAT_3,4,15,2
1_HAL_1,8,1_LIV_1,1,15,20
1_HAL_1,8,1_BED_4,2,15,6
1_HAL_1,8,1_BED_1,2,15,3
1_HAL_1,8,1_BED_3,2,15,5
1_HAL_1,8,1_LIV_1,1,15,20
1_HAL_1,8,1_LAU_1,10,15,17
1_HAL_1,8,1_BED_2,2,15,4
1_HAL_1,8,1_FOY_1,0,15,13
1_LAU_2,10,1_GAR_1,19,18,14
1_LAU_2,10,1_LIV_1,1,18,20
1_BAT_2,4,1_LIV_1,1,1,20
1_KIT_1,3,1_LIV_1,1,16,20
1_KIT_1,3,1_CLO_2,11,16,8
1_KIT_1,3,1_DIN_1,20,16,11
1_BAT_3,4,1_HAL_1,8,2,15
1_DRE_1,5,1_BAT_1,4,12,0
1_LAU_3,10,1_HAL_1,8,19,15
1_BED_4,2,1_CLO_4,11,6,10
1_BED_4,2,1_HAL_1,8,6,15
1_GAR_1,19,1_LAU_2,10,14,18
1_UTI_1,6,1_LIV_1,1,21,20
1_CLO_2,11,1_KIT_1,3,8,16
1_CLO_3,11,1_FOY_1,0,9,13
1_CLO_4,11,1_BED_4,2,10,6
1_FOY_1,0,1_LIV_1,1,13,20
1_FOY_1,0,1_CLO_3,11,13,9
1_FOY_1,0,1_DIN_1,20,13,11
1_FOY_1,0,1_HAL_1,8,13,15
