ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
2_DRE_1,5,2_BAT_1,4,6,0
2_BED_1,2,2_BAT_1,4,1,0
2_BED_1,2,2_HAL_2,8,1,8
2_UTI_1,6,2_BED_3,2,11,3
2_BED_2,2,2_CLO_2,11,2,5
2_BED_2,2,2_HAL_1,8,2,7
2_CLO_1,11,2_LIV_1,1,4,9
2_LIV_1,1,2_HAL_1,8,9,7
2_LIV_1,1,2_HAL_2,8,9,8
2_LIV_1,1,2_CLO_1,11,9,4
2_LIV_1,1,2_BED_3,2,9,3
2_HAL_1,8,2_LIV_1,1,7,9
2_HAL_1,8,2_BED_2,2,7,2
2_HAL_1,8,2_BAT_1,4,7,0
2_BED_3,2,2_UTI_1,6,3,11
2_BED_3,2,2_LIV_1,1,3,9
2_STA_1,7,2_HAL_2,8,10,8
2_BAT_1,4,2_DRE_1,5,0,6
2_BAT_1,4,2_BED_1,2,0,1
2_BAT_1,4,2_HAL_1,8,0,7
2_CLO_2,11,2_BED_2,2,5,2
2_HAL_2,8,2_LIV_1,1,8,9
2_HAL_2,8,2_STA_1,7,8,10
2_HAL_2,8,2_BED_1,2,8,1
