ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_UTI_1,6,7,13
1_BED_1,2,1_CLO_3,11,2,5
1_BED_1,2,1_BAT_1,4,2,0
1_BED_1,2,1_HAL_1,8,2,8
1_LIV_1,1,1_KIT_1,3,11,10
1_LIV_1,1,1_HAL_1,8,11,8
1_LIV_1,1,1_HAL_2,8,11,9
1_LIV_1,1,1_HAL_1,8,11,8
1_LIV_1,1,1_CLO_1,11,11,3
1_LIV_1,1,1_STA_1,7,11,12
1_BAT_1,4,1_BED_1,2,0,2
1_UTI_1,6,1_CLO_2,11,13,4
1_UTI_1,6,1_GAR_1,19,13,7
1_UTI_1,6,1_HAL_1,8,13,8
1_KIT_1,3,1_LIV_1,1,10,11
1_BAT_2,4,1_HAL_2,8,1,9
1_CLO_1,11,1_LIV_1,1,3,11
1_HAL_1,8,1_LIV_1,1,8,11
1_HAL_1,8,1_CLO_4,11,8,6
1_HAL_1,8,1_BED_1,2,8,2
1_HAL_1,8,1_LIV_1,1,8,11
1_HAL_1,8,1_UTI_1,6,8,13
1_HAL_2,8,1_LIV_1,1,9,11
1_HAL_2,8,1_BAT_2,4,9,1
1_CLO_2,11,1_UTI_1,6,4,13
1_CLO_3,11,1_BED_1,2,5,2
1_STA_1,7,1_LIV_1,1,12,11
1_CLO_4,11,1_HAL_1,8,6,8
